model,problem_id,layer,cosine_similarity
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,16,0.9625791311264038
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,17,0.958487868309021
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,18,0.9610719084739685
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,19,0.9636943340301514
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,20,0.9592506885528564
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,21,0.9723416566848755
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,22,0.9910592436790466
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,23,0.9902288913726807
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,24,0.9765728116035461
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,0,0.9515753984451294
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,1,0.9705686569213867
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,2,0.9895146489143372
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,3,0.9772346615791321
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,4,0.9912324547767639
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,5,0.9916759729385376
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,6,0.9904847741127014
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,7,0.9867447018623352
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,8,0.9865610599517822
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,9,0.9850286841392517
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,10,0.9850408434867859
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,11,0.9827943444252014
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,12,0.9818536639213562
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,13,0.9799038767814636
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,14,0.9808850288391113
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,15,0.9754112958908081
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,16,0.9693953394889832
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,17,0.9643515348434448
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,18,0.9633737206459045
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,19,0.9643958210945129
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,20,0.9604016542434692
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,21,0.9706730246543884
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,22,0.9897928237915039
